trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
Serum albumin level	ebi-a-GCST005059	phenotype	opengwas	EUR	9824	1	serum albumin measurement	""	TRUE
Hemoglobin levels	ebi-a-GCST90025969	phenotype	opengwas	EUR	445373	341	hemoglobin measurement	ebi-a-GCST005060	TRUE
Serum alkaline phosphatase levels	ebi-a-GCST90025947	phenotype	opengwas	EUR	437896	0	alkaline phosphatase measurement	ebi-a-GCST005061,ebi-a-GCST90018942	FALSE
Fibrinogen levels	ebi-a-GCST005062	phenotype	opengwas	EUR	9762	1	fibrinogen measurement	""	TRUE
Glomerular filtration rate	ebi-a-GCST005063	phenotype	opengwas	EUR	9961	0	glomerular filtration rate	""	TRUE
Aspartate aminotransferase levels	ebi-a-GCST90025980	phenotype	opengwas	EUR	436275	268	aspartate aminotransferase measurement	ebi-a-GCST005064,ebi-a-GCST90018944	FALSE
Creatinine levels	ebi-a-GCST90025946	phenotype	opengwas	EUR	437660	371	creatinine measurement	ebi-a-GCST005066,ebi-a-GCST90026000,ebi-a-GCST90092815	TRUE
C-reactive protein levels	ebi-a-GCST90029070	phenotype	opengwas	EUR	575531	264	C-reactive protein measurement	ebi-a-GCST005067,ebi-a-GCST90025959	TRUE
Gamma glutamyl transferase levels	ebi-a-GCST90025966	phenotype	opengwas	EUR	437651	349	serum gamma-glutamyl transferase measurement	ebi-a-GCST005069	TRUE
Urea levels	ebi-a-GCST005070	phenotype	opengwas	EUR	9818	0	blood urea nitrogen measurement	ebi-a-GCST90026283	FALSE
Insulin-like growth factor 1 levels	ebi-a-GCST90025989	phenotype	opengwas	EUR	435516	395	IGF-1 measurement	ebi-a-GCST005071	TRUE
Ferritin levels	ebi-a-GCST005072	phenotype	opengwas	EUR	9818	1	ferritin measurement	""	TRUE
Triglyceride levels	ebi-a-GCST90025957	phenotype	opengwas	EUR	437532	293	triglyceride measurement	ebi-a-GCST005073	TRUE
Testosterone levels	ebi-a-GCST005074	phenotype	opengwas	EUR	4259	1	testosterone measurement	""	TRUE
Modified Stumvoll Insulin Sensitivity Index	ebi-a-GCST005178	phenotype	opengwas	EUR	16753	0	insulin sensitivity measurement	""	TRUE
Homeostasis model assessment of insulin resistance	ebi-a-GCST005179	phenotype	opengwas	EUR	37037	0	HOMA-IR	""	TRUE
Homeostasis model assessment of beta-cell function	ebi-a-GCST005180	phenotype	opengwas	EUR	36466	4	HOMA-B	""	TRUE
Corrected insulin response	ebi-a-GCST005215	phenotype	opengwas	EUR	5318	3	insulin response measurement	""	TRUE
Corrected insulin response adjusted for insulin sensitivity index	ebi-a-GCST005216	phenotype	opengwas	EUR	4789	2	insulin sensitivity measurement,insulin response measurement	""	TRUE
Insulin levels adjusted for BMI	ebi-a-GCST005217	phenotype	opengwas	EUR	4409	0	insulin response measurement	""	TRUE
Area under the curve of insulin levels	ebi-a-GCST005218	phenotype	opengwas	EUR	4324	0	insulin response measurement	""	TRUE
Incremental insulin	ebi-a-GCST005219	phenotype	opengwas	EUR	4447	0	insulin measurement	""	TRUE
Insulin levels	ebi-a-GCST005220	phenotype	opengwas	EUR	4483	0	insulin measurement	""	TRUE
Insulin sensitivity index	ebi-a-GCST005221	phenotype	opengwas	EUR	4768	0	insulin sensitivity measurement	""	TRUE
Insulin disposition index	ebi-a-GCST005222	phenotype	opengwas	EUR	5130	1	disposition index measurement	""	TRUE
Ratio of the area under the curve for insulin and the area under the curve for glucose	ebi-a-GCST005223	phenotype	opengwas	EUR	4231	0	insulin response measurement	""	TRUE
Offspring birth weight	ebi-a-GCST005314	phenotype	opengwas	EUR	68258	10	birth weight,parental genotype effect measurement	""	TRUE
Total body bone mineral density	ebi-a-GCST005348	phenotype	opengwas	EUR	56284	85	bone density	""	TRUE
Total body bone mineral density (age 45-60)	ebi-a-GCST005350	phenotype	opengwas	EUR	18805	21	bone density	""	TRUE
Attention deficit hyperactivity disorder	ebi-a-GCST005362	phenotype	opengwas	EUR	32102	3	attention deficit hyperactivity disorder	ebi-a-GCST012597	TRUE
Vitamin D levels	ebi-a-GCST90025967	phenotype	opengwas	EUR	418691	88	vitamin D measurement	ebi-a-GCST005367	TRUE
Osteoarthritis of the hip (hospital diagnosed)	ebi-a-GCST005810	phenotype	opengwas	EUR	11989	0	osteoarthritis, hip	""	TRUE
Osteoarthritis (self-reported)	ebi-a-GCST005811	phenotype	opengwas	EUR	63556	1	osteoarthritis	""	TRUE
Osteoarthritis of the hip or knee (hospital diagnosed)	ebi-a-GCST005812	phenotype	opengwas	EUR	32970	0	osteoarthritis, hip,osteoarthritis, knee	""	TRUE
Osteoarthritis of the knee (hospital diagnosed)	ebi-a-GCST005813	phenotype	opengwas	EUR	22347	0	osteoarthritis, knee	""	TRUE
Osteoarthritis (hospital diagnosed)	ebi-a-GCST005814	phenotype	opengwas	EUR	50508	0	osteoarthritis	""	TRUE
Stroke	ebi-a-GCST005838	phenotype	opengwas	EUR	446696	17	stroke	ebi-a-GCST006906	TRUE
Stroke	ebi-a-GCST006906	phenotype	opengwas	EUR	446696	8	stroke	ebi-a-GCST006906	TRUE
