"id","trait","note"
"UKB-b-11463","Time since last menstrual period","3700: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11465","Reason for glasses/contact lenses: For a 'squint' or 'turn' in an eye since childhood (called 'strabismus')","6147#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1147","Diagnoses - secondary ICD10: D12.5 Sigmoid colon","41204#D125: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11480","Corneal hysteresis (right)","5256: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11484","Diagnoses - secondary ICD10: Z51.1 Chemotherapy session for neoplasm","41204#Z511: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11492","Treatment/medication code: salamol 100micrograms inhaler","20003#1140862086: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11495","Types of physical activity in last 4 weeks: Light DIY (eg: pruning, watering the lawn)","6164#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11497","Operation code: tonsillectomy +/- adenoids","20004#1478: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11531","Diagnoses - main ICD10: R32 Unspecified urinary incontinence","41202#R32: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11532","Average 16-hour sound level of noise pollution","24023: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11535","Mineral and other dietary supplements: Glucosamine","6179#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11542","Manic/hyper symptoms: I was more active than usual","6156#11: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11550","Non-cancer illness code, self-reported: atrial fibrillation","20002#1471: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11553","Operative procedures - main OPCS: F09.5 Surgical removal of retained root of tooth","41200#F095: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11566","Treatment/medication code: calcichew d3 tablet","20003#1140871050: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11567","Operative procedures - main OPCS: D02.1 Excision of lesion of external ear","41200#D021: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11572","Diagnoses - main ICD10: N92.0 Excessive and frequent menstruation with regular cycle","41202#N920: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11578","Chest pain or discomfort walking normally","3606: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11582","Diagnoses - main ICD10: K62.5 Haemorrhage of anus and rectum","41202#K625: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11588","Manic/hyper symptoms: I needed less sleep than usual","6156#13: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11590","Vascular/heart problems diagnosed by doctor: Heart attack","6150#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11598","Pulse wave reflection index","4195: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11601","Diagnoses - main ICD10: N40 Hyperplasia of prostate","41202#N40: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11605","Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)","6154#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11615","Qualifications: A levels/AS levels or equivalent","6138#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11618","Operative procedures - secondary OPCS: Q55.3 Papanicolau smear NEC","41210#Q553: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11632","Treatment/medication code: atenolol","20003#1140866738: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11639","Diagnoses - secondary ICD10: Z96.1 Presence of intraocular lens","41204#Z961: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11650","Corneal hysteresis (left)","5264: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1166","Treatment/medication code: dihydrocodeine","20003#1140884464: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11664","Diagnoses - secondary ICD10: R00.1 Bradycardia, unspecified","41204#R001: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
